condition	seed	template	data_lang	instr_lang	n	accuracy	top_pred	top_pred_count	top_pred_share	top_raw	top_raw_count	top_raw_share	correct_count	correct_via_constant_pred_count	correct_via_constant_pred_pct	correct_via_constant_raw_count	correct_via_constant_raw_pct
baseline	seednone	1	en	en	204	0.7549	science/technology	88	0.4314	Science/Technology	88	0.4314	154	51	0.3312	51	0.3312
baseline	seednone	1	en	es	204	0.6618	science/technology	110	0.5392	Science/Technology	110	0.5392	135	51	0.3778	51	0.3778
baseline	seednone	1	en	ur	204	0.4951	science/technology	97	0.4755	science/تکنالوجی	52	0.2549	101	50	0.4950	28	0.2772
baseline	seednone	1	en	zh	204	0.7157	science/technology	93	0.4559	science/technology	93	0.4559	146	50	0.3425	50	0.3425
baseline	seednone	1	es	en	204	0.7745	science/technology	80	0.3922	Science/Technology	78	0.3824	158	48	0.3038	46	0.2911
baseline	seednone	1	es	es	204	0.6520	science/technology	110	0.5392	Science/Technology	110	0.5392	133	51	0.3835	51	0.3835
baseline	seednone	1	es	ur	204	0.5343	science/technology	77	0.3775	سائنس/تکنالوجی	66	0.3235	109	45	0.4128	42	0.3853
baseline	seednone	1	es	zh	204	0.6373	science/technology	106	0.5196	science/technology	92	0.4510	130	51	0.3923	50	0.3846
baseline	seednone	1	ur	en	204	0.7255	science/technology	77	0.3775	science/technology	76	0.3725	148	46	0.3108	46	0.3108
baseline	seednone	1	ur	es	204	0.5343	science/technology	133	0.6520	Science/Technology	96	0.4706	109	50	0.4587	29	0.2661
baseline	seednone	1	ur	ur	204	0.5735	science/technology	109	0.5343	سائنس/تکنالوجی	54	0.2647	117	47	0.4017	24	0.2051
baseline	seednone	1	ur	zh	204	0.5735	science/technology	130	0.6373	science/technology	128	0.6275	117	51	0.4359	51	0.4359
baseline	seednone	1	zh	en	204	0.7892	science/technology	65	0.3186	Science/Technology	37	0.1814	161	46	0.2857	26	0.1615
baseline	seednone	1	zh	es	204	0.5882	science/technology	124	0.6078	Science/Technology	116	0.5686	120	51	0.4250	50	0.4167
baseline	seednone	1	zh	ur	204	0.5294	science/technology	81	0.3971	سائنس/تکنالوجی	68	0.3333	108	44	0.4074	41	0.3796
baseline	seednone	1	zh	zh	204	0.6667	science/technology	101	0.4951	science/technology	82	0.4020	136	50	0.3676	50	0.3676
baseline	seednone	2	en	en	204	0.7206	science/technology	88	0.4314	Science/Technology	87	0.4265	147	50	0.3401	50	0.3401
baseline	seednone	2	en	es	204	0.5539	science/technology	133	0.6520	Science/Technology	109	0.5343	113	51	0.4513	41	0.3628
baseline	seednone	2	en	ur	204	0.3971	science/technology	97	0.4755	سائنس/تکنالوجی	70	0.3431	81	49	0.6049	41	0.5062
baseline	seednone	2	en	zh	204	0.6520	science/technology	99	0.4853	science/technology	70	0.3431	133	48	0.3609	38	0.2857
baseline	seednone	2	es	en	204	0.6765	science/technology	93	0.4559	Science/Technology	93	0.4559	138	50	0.3623	50	0.3623
