condition	seed	template	benchmark	data	instr	delta_orig	delta_rep	shift	verdict
condition-2-ur-20k	42	1	sib200	zh	ur	0.3235	-0.1324	-0.45589999999999997	win→loss
condition-2-ur-20k	42	2	sib200	ur	ur	0.2549	-0.1912	-0.44610000000000005	win→loss
condition-2-ur-20k	42	1	sib200	es	ur	0.201	-0.2206	-0.4216	win→loss
condition-2-ur-5k	456	1	sib200	ur	ur	0.2892	-0.1275	-0.4167	win→loss
condition-2-ur-5k	42	1	sib200	es	ur	0.3725	-0.0392	-0.4117	win→loss
condition-2-ur-5k	42	1	sib200	ur	ur	0.2157	-0.1912	-0.40690000000000004	win→loss
condition-2-ur-5k	123	1	sib200	ur	ur	0.2696	-0.1324	-0.402	win→loss
condition-2-ur-5k	123	2	sib200	ur	ur	0.3235	-0.0588	-0.38230000000000003	win→loss
condition-2-ur-20k	42	1	sib200	ur	ur	0.0588	-0.3137	-0.3725	win→loss
condition-2-ur-5k	42	2	sib200	ur	ur	0.299	-0.0686	-0.3676	win→loss
condition-5-ur-5k	42	2	sib200	en	ur	-0.1814	0.1814	0.3628	loss→win
condition-2-ur-20k	42	1	sib200	en	ur	0.1863	-0.1225	-0.30879999999999996	win→loss
condition-5-ur-5k	42	2	sib200	es	ur	-0.049	0.2549	0.3039	loss→win
condition-2-es-20k	42	2	sib200	ur	es	0.0588	-0.1814	-0.2402	win→loss
condition-2-es-5k	123	2	sib200	ur	es	0.049	-0.1814	-0.2304	win→loss
condition-2-es-5k	42	2	sib200	ur	es	0.0441	-0.1765	-0.2206	win→loss
condition-2-es-5k	456	2	sib200	ur	es	0.0588	-0.1373	-0.1961	win→loss
condition-2-es-20k	42	2	sib200	zh	es	0.1569	-0.0343	-0.1912	win→loss
condition-2-es-5k	42	2	sib200	zh	es	0.1225	-0.0588	-0.1813	win→loss
condition-2-es-5k	123	2	sib200	zh	es	0.1225	-0.0588	-0.1813	win→loss
condition-1-en-20k	42	2	sib200	es	ur	-0.0686	0.1029	0.17149999999999999	loss→win
condition-2-es-5k	456	2	sib200	zh	es	0.1176	-0.049	-0.1666	win→loss
condition-3-zh-5k	42	2	sib200	zh	zh	0.1275	-0.0147	-0.1422	win→loss
condition-2-es-20k	42	2	sib200	es	es	0.1275	-0.0147	-0.1422	win→loss
condition-2-es-5k	42	2	sib200	es	es	0.0931	-0.0441	-0.1372	win→loss
condition-2-es-5k	123	2	sib200	es	es	0.098	-0.0392	-0.1372	win→loss
condition-2-es-5k	456	2	sib200	es	es	0.1127	-0.0245	-0.1372	win→loss
condition-2-zh-20k	42	1	sib200	zh	zh	0.1078	-0.0196	-0.1274	win→loss
condition-1-en-20k	42	2	sib200	zh	ur	-0.0245	0.098	0.1225	loss→win
condition-1-en-5k	456	2	xnli	es	zh	-0.022	0.0916	0.1136	loss→win
condition-1-en-5k	456	2	xnli	en	zh	-0.0601	0.0531	0.1132	loss→win
condition-5-ur-5k	42	2	sib200	ur	ur	-0.0882	0.0196	0.1078	loss→win
condition-1-en-5k	456	2	sib200	es	ur	-0.049	0.0588	0.1078	loss→win
condition-1-en-5k	456	2	sib200	zh	ur	-0.0147	0.0784	0.0931	loss→win
condition-1-en-5k	123	2	sib200	es	ur	-0.0343	0.0441	0.0784	loss→win
condition-1-en-5k	42	2	xnli	en	zh	-0.0102	0.0599	0.0701	loss→win
condition-1-en-5k	123	2	sib200	ur	es	0.0196	-0.049	-0.0686	win→loss
condition-1-en-20k	42	2	xnli	es	zh	-0.0242	0.0345	0.0587	loss→win
condition-1-en-5k	456	1	sib200	en	ur	0.0343	-0.0196	-0.053899999999999997	win→loss
condition-1-en-5k	42	1	sib200	ur	ur	0.0294	-0.0196	-0.049	win→loss
condition-1-en-5k	456	2	sib200	en	ur	-0.0196	0.0196	0.0392	loss→win
condition-1-en-5k	42	2	sib200	es	zh	0.0196	-0.0196	-0.0392	win→loss
condition-1-en-5k	42	1	sib200	en	ur	0.0196	-0.0196	-0.0392	win→loss
condition-1-en-20k	42	1	sib200	zh	zh	0.0196	-0.0196	-0.0392	win→loss
condition-1-en-5k	456	2	xnli	zh	zh	-0.0106	0.0253	0.0359	loss→win
condition-1-en-20k	42	1	sib200	es	zh	0.0147	-0.0147	-0.0294	win→loss
condition-1-en-5k	456	1	sib200	ur	ur	0.0147	-0.0147	-0.0294	win→loss
condition-1-en-5k	123	2	sib200	es	zh	0.0147	-0.0147	-0.0294	win→loss
