condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
baseline	none	1	belebele	en	en	None	0.7678	0.7678	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	en	es	None	0.7611	0.7611	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	en	ur	None	0.7411	0.7411	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	en	zh	None	0.7889	0.7889	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	es	en	None	0.6911	0.6911	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	es	es	None	0.6722	0.6722	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	es	ur	None	0.6389	0.6389	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	es	zh	None	0.6956	0.6956	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	ur	en	None	0.6044	0.6044	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	ur	es	None	0.5389	0.5389	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	ur	ur	None	0.5289	0.5289	+0.0000	0.0044	0.0044	+0.0000
baseline	none	1	belebele	ur	zh	None	0.5922	0.5922	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	zh	en	None	0.7500	0.7500	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	zh	es	None	0.7033	0.7033	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	zh	ur	None	0.7011	0.7011	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	belebele	zh	zh	None	0.7756	0.7756	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	en	en	None	0.6070	0.6070	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	en	es	None	0.6040	0.6040	+0.0000	0.0070	0.0070	+0.0000
baseline	none	1	csqa	en	ur	None	0.5850	0.5850	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	en	zh	None	0.6410	0.6410	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	es	en	None	0.5240	0.5240	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	es	es	None	0.5290	0.5290	+0.0000	0.0010	0.0010	+0.0000
baseline	none	1	csqa	es	ur	None	0.4730	0.4730	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	es	zh	None	0.5470	0.5470	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	ur	en	None	0.4240	0.4240	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	ur	es	None	0.3960	0.3960	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	ur	ur	None	0.4040	0.4040	+0.0000	0.0010	0.0010	+0.0000
baseline	none	1	csqa	ur	zh	None	0.3760	0.3760	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	zh	en	None	0.5450	0.5450	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	zh	es	None	0.5000	0.5000	+0.0000	0.0020	0.0020	+0.0000
baseline	none	1	csqa	zh	ur	None	0.4810	0.4810	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	csqa	zh	zh	None	0.5340	0.5340	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	sib200	en	en	None	0.7549	0.7549	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	sib200	en	es	None	0.6618	0.6618	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	sib200	en	ur	None	0.3088	0.4951	+0.1863	0.4510	0.0931	-0.3578
baseline	none	1	sib200	en	zh	None	0.7157	0.7157	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	sib200	es	en	None	0.7794	0.7745	-0.0049	0.0000	0.0049	+0.0049
baseline	none	1	sib200	es	es	None	0.6471	0.6520	+0.0049	0.0147	0.0000	-0.0147
baseline	none	1	sib200	es	ur	None	0.2304	0.5343	+0.3039	0.6176	0.0980	-0.5196
baseline	none	1	sib200	es	zh	None	0.5784	0.6373	+0.0588	0.0882	0.0147	-0.0735
baseline	none	1	sib200	ur	en	None	0.7402	0.7255	-0.0147	0.0000	0.0147	+0.0147
baseline	none	1	sib200	ur	es	None	0.5000	0.5343	+0.0343	0.0441	0.0245	-0.0196
baseline	none	1	sib200	ur	ur	None	0.2157	0.5735	+0.3578	0.5098	0.0343	-0.4755
baseline	none	1	sib200	ur	zh	None	0.5686	0.5735	+0.0049	0.0098	0.0049	-0.0049
baseline	none	1	sib200	zh	en	None	0.8039	0.7892	-0.0147	0.0098	0.0196	+0.0098
baseline	none	1	sib200	zh	es	None	0.5343	0.5882	+0.0539	0.0784	0.0000	-0.0784
baseline	none	1	sib200	zh	ur	None	0.2157	0.5294	+0.3137	0.6127	0.1324	-0.4804
baseline	none	1	sib200	zh	zh	None	0.5343	0.6667	+0.1324	0.1912	0.0098	-0.1814
baseline	none	1	xnli	en	en	None	0.4998	0.4998	+0.0000	0.0014	0.0014	+0.0000
baseline	none	1	xnli	en	es	None	0.3980	0.3980	+0.0000	0.0002	0.0002	+0.0000
baseline	none	1	xnli	en	ur	None	0.3816	0.3816	+0.0000	0.0010	0.0008	-0.0002
baseline	none	1	xnli	en	zh	None	0.3333	0.3333	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	xnli	es	en	None	0.4525	0.4525	+0.0000	0.0006	0.0006	+0.0000
baseline	none	1	xnli	es	es	None	0.4547	0.4547	+0.0000	0.0002	0.0002	+0.0000
baseline	none	1	xnli	es	ur	None	0.3433	0.3433	+0.0000	0.0010	0.0010	+0.0000
baseline	none	1	xnli	es	zh	None	0.3337	0.3337	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	xnli	ur	en	None	0.4343	0.4343	+0.0000	0.0038	0.0038	+0.0000
baseline	none	1	xnli	ur	es	None	0.3727	0.3727	+0.0000	0.0002	0.0002	+0.0000
baseline	none	1	xnli	ur	ur	None	0.3327	0.3327	+0.0000	0.0038	0.0038	+0.0000
baseline	none	1	xnli	ur	zh	None	0.3311	0.3311	+0.0000	0.0002	0.0002	+0.0000
baseline	none	1	xnli	zh	en	None	0.3906	0.3906	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	xnli	zh	es	None	0.3333	0.3333	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	xnli	zh	ur	None	0.3345	0.3345	+0.0000	0.0000	0.0000	+0.0000
baseline	none	1	xnli	zh	zh	None	0.3329	0.3329	+0.0000	0.0004	0.0004	+0.0000
baseline	none	2	belebele	en	en	None	0.7822	0.7822	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	en	es	None	0.7756	0.7756	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	en	ur	None	0.7489	0.7489	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	en	zh	None	0.8000	0.8000	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	es	en	None	0.7011	0.7011	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	es	es	None	0.6989	0.6989	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	es	ur	None	0.6389	0.6389	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	es	zh	None	0.7167	0.7167	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	ur	en	None	0.6144	0.6144	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	ur	es	None	0.5544	0.5544	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	ur	ur	None	0.5233	0.5233	+0.0000	0.0033	0.0033	+0.0000
baseline	none	2	belebele	ur	zh	None	0.6067	0.6067	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	zh	en	None	0.7589	0.7589	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	zh	es	None	0.7367	0.7367	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	zh	ur	None	0.7000	0.7000	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	belebele	zh	zh	None	0.7611	0.7611	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	en	en	None	0.6070	0.6070	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	en	es	None	0.6230	0.6230	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	en	ur	None	0.5790	0.5790	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	en	zh	None	0.6310	0.6310	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	es	en	None	0.5170	0.5170	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	es	es	None	0.5320	0.5320	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	es	ur	None	0.4800	0.4800	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	es	zh	None	0.5300	0.5300	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	ur	en	None	0.4170	0.4170	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	ur	es	None	0.3930	0.3930	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	csqa	ur	ur	None	0.3920	0.3920	+0.0000	0.0010	0.0010	+0.0000
