condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	verdict
condition-1-en-20k	42	1	sib200	zh	zh	0.5343	0.5539	+0.0196	0.6667	0.6471	-0.0196	win→loss
condition-1-en-20k	42	1	sib200	es	zh	0.5784	0.5931	+0.0147	0.6373	0.6225	-0.0147	win→loss
condition-1-en-20k	42	2	sib200	zh	ur	0.0931	0.0686	-0.0245	0.3971	0.4951	+0.0980	loss→win
condition-1-en-20k	42	2	sib200	es	ur	0.0980	0.0294	-0.0686	0.3088	0.4118	+0.1029	loss→win
condition-1-en-20k	42	2	xnli	es	zh	0.1128	0.0886	-0.0242	0.2369	0.2715	+0.0345	loss→win
condition-1-en-5k	123	2	sib200	es	zh	0.4755	0.4902	+0.0147	0.5931	0.5784	-0.0147	win→loss
condition-1-en-5k	123	2	sib200	es	ur	0.0980	0.0637	-0.0343	0.3088	0.3529	+0.0441	loss→win
condition-1-en-5k	123	2	sib200	ur	es	0.3725	0.3922	+0.0196	0.6127	0.5637	-0.0490	win→loss
condition-1-en-5k	42	1	sib200	en	ur	0.3088	0.3284	+0.0196	0.4951	0.4755	-0.0196	win→loss
condition-1-en-5k	42	1	sib200	ur	ur	0.2157	0.2451	+0.0294	0.5735	0.5539	-0.0196	win→loss
condition-1-en-5k	42	2	sib200	es	zh	0.4755	0.4951	+0.0196	0.5931	0.5735	-0.0196	win→loss
condition-1-en-5k	42	2	xnli	en	zh	0.2405	0.2303	-0.0102	0.3337	0.3936	+0.0599	loss→win
condition-1-en-5k	456	1	sib200	en	ur	0.3088	0.3431	+0.0343	0.4951	0.4755	-0.0196	win→loss
condition-1-en-5k	456	1	sib200	ur	ur	0.2157	0.2304	+0.0147	0.5735	0.5588	-0.0147	win→loss
condition-1-en-5k	456	2	sib200	en	ur	0.2696	0.2500	-0.0196	0.3971	0.4167	+0.0196	loss→win
condition-1-en-5k	456	2	sib200	zh	ur	0.0931	0.0784	-0.0147	0.3971	0.4755	+0.0784	loss→win
condition-1-en-5k	456	2	sib200	es	ur	0.0980	0.0490	-0.0490	0.3088	0.3676	+0.0588	loss→win
condition-1-en-5k	456	2	xnli	en	zh	0.2405	0.1804	-0.0601	0.3337	0.3868	+0.0531	loss→win
condition-1-en-5k	456	2	xnli	zh	zh	0.0675	0.0569	-0.0106	0.2491	0.2745	+0.0253	loss→win
condition-1-en-5k	456	2	xnli	es	zh	0.1128	0.0908	-0.0220	0.2369	0.3285	+0.0916	loss→win
condition-2-es-20k	42	2	sib200	zh	es	0.3725	0.5294	+0.1569	0.5588	0.5245	-0.0343	win→loss
condition-2-es-20k	42	2	sib200	es	es	0.3725	0.5000	+0.1275	0.5147	0.5000	-0.0147	win→loss
condition-2-es-20k	42	2	sib200	ur	es	0.3725	0.4314	+0.0588	0.6127	0.4314	-0.1814	win→loss
condition-2-es-5k	123	2	sib200	zh	es	0.3725	0.4951	+0.1225	0.5588	0.5000	-0.0588	win→loss
condition-2-es-5k	123	2	sib200	es	es	0.3725	0.4706	+0.0980	0.5147	0.4755	-0.0392	win→loss
condition-2-es-5k	123	2	sib200	ur	es	0.3725	0.4216	+0.0490	0.6127	0.4314	-0.1814	win→loss
condition-2-es-5k	42	2	sib200	zh	es	0.3725	0.4951	+0.1225	0.5588	0.5000	-0.0588	win→loss
condition-2-es-5k	42	2	sib200	es	es	0.3725	0.4657	+0.0931	0.5147	0.4706	-0.0441	win→loss
