condition	target_lang	data_lang	instr_lang	off_target	matched_diagonal	matched_instr	n_cells	mean_cond_acc	mean_baseline_acc	delta_vs_baseline
condition-1-en-20k	en	en	en	n	y	y	8	0.6378	0.6397	-0.0019
condition-1-en-20k	en	en	es	n	n	n	8	0.5849	0.5947	-0.0098
condition-1-en-20k	en	en	ur	n	n	n	8	0.5455	0.5233	+0.0222
condition-1-en-20k	en	en	zh	n	n	n	8	0.6083	0.6120	-0.0037
condition-1-en-20k	en	es	en	y	n	y	8	0.5889	0.5878	+0.0011
condition-1-en-20k	en	es	es	y	y	n	8	0.5385	0.5538	-0.0153
condition-1-en-20k	en	es	ur	y	n	n	8	0.4823	0.4686	+0.0136
condition-1-en-20k	en	es	zh	y	n	n	8	0.5392	0.5363	+0.0029
condition-1-en-20k	en	ur	en	y	n	y	8	0.5242	0.5296	-0.0054
condition-1-en-20k	en	ur	es	y	n	n	8	0.4607	0.4565	+0.0042
condition-1-en-20k	en	ur	ur	y	y	n	8	0.4548	0.4508	+0.0040
condition-1-en-20k	en	ur	zh	y	n	n	8	0.4537	0.4530	+0.0007
condition-1-en-20k	en	zh	en	y	n	y	8	0.6032	0.6158	-0.0127
condition-1-en-20k	en	zh	es	y	n	n	8	0.5300	0.5368	-0.0068
condition-1-en-20k	en	zh	ur	y	n	n	8	0.5086	0.4929	+0.0157
condition-1-en-20k	en	zh	zh	y	y	n	8	0.5608	0.5592	+0.0016
condition-1-en-5k	en	en	en	n	y	y	24	0.6413	0.6397	+0.0015
condition-1-en-5k	en	en	es	n	n	n	24	0.5927	0.5947	-0.0020
condition-1-en-5k	en	en	ur	n	n	n	24	0.5342	0.5233	+0.0109
condition-1-en-5k	en	en	zh	n	n	n	24	0.6181	0.6120	+0.0062
condition-1-en-5k	en	es	en	y	n	y	24	0.5883	0.5878	+0.0004
condition-1-en-5k	en	es	es	y	y	n	24	0.5515	0.5538	-0.0023
condition-1-en-5k	en	es	ur	y	n	n	24	0.4733	0.4686	+0.0047
condition-1-en-5k	en	es	zh	y	n	n	24	0.5473	0.5363	+0.0110
condition-1-en-5k	en	ur	en	y	n	y	24	0.5254	0.5296	-0.0042
condition-1-en-5k	en	ur	es	y	n	n	24	0.4662	0.4565	+0.0097
condition-1-en-5k	en	ur	ur	y	y	n	24	0.4530	0.4508	+0.0022
condition-1-en-5k	en	ur	zh	y	n	n	24	0.4606	0.4530	+0.0076
condition-1-en-5k	en	zh	en	y	n	y	24	0.6093	0.6158	-0.0065
condition-1-en-5k	en	zh	es	y	n	n	24	0.5329	0.5368	-0.0039
condition-1-en-5k	en	zh	ur	y	n	n	24	0.5069	0.4929	+0.0140
condition-1-en-5k	en	zh	zh	y	y	n	24	0.5636	0.5592	+0.0044
condition-2-es-20k	es	en	en	y	y	n	8	0.6413	0.6397	+0.0016
condition-2-es-20k	es	en	es	y	n	y	8	0.6082	0.5947	+0.0134
condition-2-es-20k	es	es	en	n	n	n	8	0.5923	0.5878	+0.0045
condition-2-es-20k	es	es	es	n	y	y	8	0.5546	0.5538	+0.0008
condition-2-es-20k	es	ur	en	y	n	n	8	0.5248	0.5296	-0.0048
condition-2-es-20k	es	ur	es	y	n	y	8	0.4700	0.4565	+0.0135
condition-2-es-20k	es	zh	en	y	n	n	8	0.6097	0.6158	-0.0062
condition-2-es-20k	es	zh	es	y	n	y	8	0.5486	0.5368	+0.0119
condition-2-es-5k	es	en	en	y	y	n	24	0.6412	0.6397	+0.0014
condition-2-es-5k	es	en	es	y	n	y	24	0.6035	0.5947	+0.0087
condition-2-es-5k	es	es	en	n	n	n	24	0.5920	0.5878	+0.0042
condition-2-es-5k	es	es	es	n	y	y	24	0.5543	0.5538	+0.0005
condition-2-es-5k	es	ur	en	y	n	n	24	0.5262	0.5296	-0.0034
condition-2-es-5k	es	ur	es	y	n	y	24	0.4731	0.4565	+0.0166
