target_lang	family	template	benchmark	data	instr	matched_instr	matched_diagonal	acc_5k_mean	n_seeds_5k	acc_20k_mean	n_seeds_20k	delta_20k_minus_5k
en	condition-1-en	1	belebele	en	en	y	y	0.7781	3	0.7767	1	-0.0015
en	condition-1-en	1	belebele	en	es	n	n	0.7604	3	0.7611	1	+0.0007
en	condition-1-en	1	belebele	en	ur	n	n	0.7548	3	0.7611	1	+0.0063
en	condition-1-en	1	belebele	en	zh	n	n	0.7885	3	0.7900	1	+0.0015
en	condition-1-en	1	belebele	es	en	y	n	0.7000	3	0.7000	1	+0.0000
en	condition-1-en	1	belebele	es	es	n	y	0.6719	3	0.6667	1	-0.0052
en	condition-1-en	1	belebele	es	ur	n	n	0.6422	3	0.6344	1	-0.0078
en	condition-1-en	1	belebele	es	zh	n	n	0.6937	3	0.6989	1	+0.0052
en	condition-1-en	1	belebele	ur	en	y	n	0.6130	3	0.6144	1	+0.0015
en	condition-1-en	1	belebele	ur	es	n	n	0.5356	3	0.5389	1	+0.0033
en	condition-1-en	1	belebele	ur	ur	n	y	0.5367	3	0.5233	1	-0.0133
en	condition-1-en	1	belebele	ur	zh	n	n	0.5996	3	0.5944	1	-0.0052
en	condition-1-en	1	belebele	zh	en	y	n	0.7596	3	0.7600	1	+0.0004
en	condition-1-en	1	belebele	zh	es	n	n	0.7044	3	0.7011	1	-0.0033
en	condition-1-en	1	belebele	zh	ur	n	n	0.7144	3	0.7044	1	-0.0100
en	condition-1-en	1	belebele	zh	zh	n	y	0.7752	3	0.7656	1	-0.0096
en	condition-1-en	1	csqa	en	en	y	y	0.6120	3	0.6150	1	+0.0030
en	condition-1-en	1	csqa	en	es	n	n	0.6117	3	0.6140	1	+0.0023
en	condition-1-en	1	csqa	en	ur	n	n	0.5920	3	0.5930	1	+0.0010
en	condition-1-en	1	csqa	en	zh	n	n	0.6447	3	0.6520	1	+0.0073
en	condition-1-en	1	csqa	es	en	y	n	0.5303	3	0.5370	1	+0.0067
en	condition-1-en	1	csqa	es	es	n	y	0.5333	3	0.5230	1	-0.0103
en	condition-1-en	1	csqa	es	ur	n	n	0.4823	3	0.4830	1	+0.0007
en	condition-1-en	1	csqa	es	zh	n	n	0.5480	3	0.5530	1	+0.0050
en	condition-1-en	1	csqa	ur	en	y	n	0.4237	3	0.4320	1	+0.0083
en	condition-1-en	1	csqa	ur	es	n	n	0.3970	3	0.3940	1	-0.0030
en	condition-1-en	1	csqa	ur	ur	n	y	0.4090	3	0.4020	1	-0.0070
en	condition-1-en	1	csqa	ur	zh	n	n	0.3867	3	0.3960	1	+0.0093
en	condition-1-en	1	csqa	zh	en	y	n	0.5527	3	0.5490	1	-0.0037
en	condition-1-en	1	csqa	zh	es	n	n	0.5067	3	0.5110	1	+0.0043
en	condition-1-en	1	csqa	zh	ur	n	n	0.4820	3	0.4830	1	+0.0010
en	condition-1-en	1	csqa	zh	zh	n	y	0.5267	3	0.5360	1	+0.0093
en	condition-1-en	1	sib200	en	en	y	y	0.7533	3	0.7549	1	+0.0016
en	condition-1-en	1	sib200	en	es	n	n	0.6487	3	0.6176	1	-0.0310
en	condition-1-en	1	sib200	en	ur	n	n	0.4804	3	0.4951	1	+0.0147
en	condition-1-en	1	sib200	en	zh	n	n	0.7059	3	0.6961	1	-0.0098
en	condition-1-en	1	sib200	es	en	y	n	0.7582	3	0.7745	1	+0.0163
en	condition-1-en	1	sib200	es	es	n	y	0.6389	3	0.6029	1	-0.0359
en	condition-1-en	1	sib200	es	ur	n	n	0.4935	3	0.5147	1	+0.0212
en	condition-1-en	1	sib200	es	zh	n	n	0.6324	3	0.6225	1	-0.0098
en	condition-1-en	1	sib200	ur	en	y	n	0.6895	3	0.6863	1	-0.0033
en	condition-1-en	1	sib200	ur	es	n	n	0.5180	3	0.5000	1	-0.0180
en	condition-1-en	1	sib200	ur	ur	n	y	0.5588	3	0.5686	1	+0.0098
en	condition-1-en	1	sib200	ur	zh	n	n	0.5539	3	0.5245	1	-0.0294
en	condition-1-en	1	sib200	zh	en	y	n	0.7500	3	0.7647	1	+0.0147
en	condition-1-en	1	sib200	zh	es	n	n	0.5735	3	0.5490	1	-0.0245
en	condition-1-en	1	sib200	zh	ur	n	n	0.5245	3	0.5294	1	+0.0049
en	condition-1-en	1	sib200	zh	zh	n	y	0.6650	3	0.6471	1	-0.0180
en	condition-1-en	1	xnli	en	en	y	y	0.5226	3	0.5166	1	-0.0061
en	condition-1-en	1	xnli	en	es	n	n	0.4161	3	0.4457	1	+0.0296
en	condition-1-en	1	xnli	en	ur	n	n	0.4253	3	0.4677	1	+0.0424
en	condition-1-en	1	xnli	en	zh	n	n	0.3340	3	0.3329	1	-0.0011
en	condition-1-en	1	xnli	es	en	y	n	0.4687	3	0.4677	1	-0.0011
en	condition-1-en	1	xnli	es	es	n	y	0.4623	3	0.4758	1	+0.0135
en	condition-1-en	1	xnli	es	ur	n	n	0.3516	3	0.3752	1	+0.0237
en	condition-1-en	1	xnli	es	zh	n	n	0.3343	3	0.3337	1	-0.0005
