condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-20k	es	42	1	belebele	en	en	y	n	0.7678	0.7781	0.7878	+0.0200	+0.0104	+0.0096
condition-2-es-20k	es	42	1	belebele	en	es	n	y	0.7611	0.7604	0.7744	+0.0133	-0.0007	+0.0141
condition-2-es-20k	es	42	1	belebele	es	en	n	n	0.6911	0.7000	0.7022	+0.0111	+0.0089	+0.0022
condition-2-es-20k	es	42	1	belebele	es	es	y	y	0.6722	0.6719	0.6678	-0.0044	-0.0004	-0.0041
condition-2-es-20k	es	42	1	belebele	ur	en	n	n	0.6044	0.6130	0.6089	+0.0044	+0.0085	-0.0041
condition-2-es-20k	es	42	1	belebele	ur	es	n	y	0.5389	0.5356	0.5444	+0.0056	-0.0033	+0.0089
condition-2-es-20k	es	42	1	belebele	zh	en	n	n	0.7500	0.7596	0.7556	+0.0056	+0.0096	-0.0041
condition-2-es-20k	es	42	1	belebele	zh	es	n	y	0.7033	0.7044	0.7156	+0.0122	+0.0011	+0.0111
condition-2-es-20k	es	42	1	csqa	en	en	y	n	0.6070	0.6120	0.6010	-0.0060	+0.0050	-0.0110
condition-2-es-20k	es	42	1	csqa	en	es	n	y	0.6040	0.6117	0.6100	+0.0060	+0.0077	-0.0017
condition-2-es-20k	es	42	1	csqa	es	en	n	n	0.5240	0.5303	0.5360	+0.0120	+0.0063	+0.0057
condition-2-es-20k	es	42	1	csqa	es	es	y	y	0.5290	0.5333	0.5400	+0.0110	+0.0043	+0.0067
condition-2-es-20k	es	42	1	csqa	ur	en	n	n	0.4240	0.4237	0.4180	-0.0060	-0.0003	-0.0057
condition-2-es-20k	es	42	1	csqa	ur	es	n	y	0.3960	0.3970	0.3950	-0.0010	+0.0010	-0.0020
condition-2-es-20k	es	42	1	csqa	zh	en	n	n	0.5450	0.5527	0.5490	+0.0040	+0.0077	-0.0037
