condition	target_lang	benchmark	n_cells	mean_recovery_pp	median_recovery	max_recovery	n_cells_recovery_gt_0.05
baseline		ALL	128	+0.0425	+0.0000	+0.5196	21
baseline		belebele	32	+0.0000	+0.0000	+0.0000	0
baseline		csqa	32	+0.0000	+0.0000	+0.0000	0
baseline		sib200	32	+0.1377	+0.0735	+0.5196	16
baseline		xnli	32	+0.0323	+0.0000	+0.4200	5
condition-1-en-20k	en	ALL	128	+0.0477	+0.0000	+0.6471	20
condition-1-en-20k	en	belebele	32	+0.0000	+0.0000	+0.0000	0
condition-1-en-20k	en	csqa	32	+0.0000	+0.0000	+0.0000	0
condition-1-en-20k	en	sib200	32	+0.1466	+0.0392	+0.6471	15
condition-1-en-20k	en	xnli	32	+0.0441	+0.0000	+0.5030	5
condition-1-en-5k	en	ALL	384	+0.0461	+0.0000	+0.6029	60
condition-1-en-5k	en	belebele	96	+0.0000	+0.0000	+0.0000	0
condition-1-en-5k	en	csqa	96	+0.0000	+0.0000	+0.0000	0
condition-1-en-5k	en	sib200	96	+0.1360	+0.0343	+0.6029	45
condition-1-en-5k	en	xnli	96	+0.0485	+0.0000	+0.5393	15
condition-2-es-20k	es	ALL	64	-0.0018	+0.0000	+0.0000	0
condition-2-es-20k	es	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-2-es-20k	es	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-2-es-20k	es	sib200	16	-0.0070	+0.0000	+0.0000	0
condition-2-es-20k	es	xnli	16	+0.0000	+0.0000	+0.0000	0
condition-2-es-5k	es	ALL	192	-0.0009	+0.0000	+0.0441	0
condition-2-es-5k	es	belebele	48	+0.0000	+0.0000	+0.0000	0
condition-2-es-5k	es	csqa	48	+0.0000	+0.0000	+0.0000	0
condition-2-es-5k	es	sib200	48	-0.0038	+0.0000	+0.0441	0
condition-2-es-5k	es	xnli	48	+0.0000	+0.0000	+0.0000	0
condition-2-ur-20k	ur	ALL	64	-0.0275	+0.0000	+0.0784	1
condition-2-ur-20k	ur	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-2-ur-20k	ur	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-2-ur-20k	ur	sib200	16	-0.1100	-0.0196	+0.0784	1
condition-2-ur-20k	ur	xnli	16	+0.0000	+0.0000	+0.0000	0
condition-2-ur-5k	ur	ALL	192	-0.0222	+0.0000	+0.0000	0
condition-2-ur-5k	ur	belebele	48	+0.0000	+0.0000	+0.0000	0
condition-2-ur-5k	ur	csqa	48	+0.0000	+0.0000	+0.0000	0
condition-2-ur-5k	ur	sib200	48	-0.0886	-0.0294	+0.0000	0
condition-2-ur-5k	ur	xnli	48	+0.0000	+0.0000	+0.0000	0
condition-2-zh-20k	zh	ALL	64	+0.0012	+0.0000	+0.0490	0
condition-2-zh-20k	zh	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-2-zh-20k	zh	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-2-zh-20k	zh	sib200	16	+0.0040	+0.0000	+0.0490	0
condition-2-zh-20k	zh	xnli	16	+0.0009	+0.0000	+0.0108	0
condition-2-zh-5k	zh	ALL	192	+0.0010	+0.0000	+0.0571	2
condition-2-zh-5k	zh	belebele	48	+0.0000	+0.0000	+0.0000	0
condition-2-zh-5k	zh	csqa	48	+0.0000	+0.0000	+0.0000	0
condition-2-zh-5k	zh	sib200	48	-0.0005	+0.0000	+0.0294	0
condition-2-zh-5k	zh	xnli	48	+0.0044	+0.0000	+0.0571	2
condition-3-zh-5k	zh	ALL	64	-0.0040	+0.0000	+0.0060	0
condition-3-zh-5k	zh	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-3-zh-5k	zh	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-3-zh-5k	zh	sib200	16	-0.0162	-0.0098	+0.0000	0
condition-3-zh-5k	zh	xnli	16	+0.0004	+0.0000	+0.0060	0
condition-5-es-5k	es	ALL	64	+0.0357	+0.0000	+0.4902	9
condition-5-es-5k	es	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-5-es-5k	es	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-5-es-5k	es	sib200	16	+0.1428	+0.0882	+0.4902	9
condition-5-es-5k	es	xnli	16	+0.0000	+0.0000	+0.0000	0
condition-5-ur-5k	ur	ALL	64	+0.0681	+0.0000	+0.7598	8
condition-5-ur-5k	ur	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-5-ur-5k	ur	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-5-ur-5k	ur	sib200	16	+0.2724	+0.3382	+0.7598	8
condition-5-ur-5k	ur	xnli	16	+0.0000	+0.0000	+0.0000	0
condition-5-zh-5k	zh	ALL	64	+0.0868	+0.0000	+0.6577	14
condition-5-zh-5k	zh	belebele	16	+0.0000	+0.0000	+0.0000	0
condition-5-zh-5k	zh	csqa	16	+0.0000	+0.0000	+0.0000	0
condition-5-zh-5k	zh	sib200	16	+0.2166	+0.2745	+0.5784	10
condition-5-zh-5k	zh	xnli	16	+0.1306	+0.0002	+0.6577	4
