rank	condition	seed	template	benchmark	data	instr	matched_diagonal	orig_pf	refined_pf	recovery_pp
1	condition-5-ur-5k	42	2	sib200	es	ur	n	0.8824	0.1225	+0.7598
2	condition-5-ur-5k	42	2	sib200	zh	ur	n	0.8039	0.0539	+0.7500
3	condition-5-ur-5k	42	2	sib200	en	ur	n	0.8186	0.1225	+0.6961
4	condition-5-zh-5k	42	2	xnli	es	zh	n	0.7613	0.1036	+0.6577
5	condition-1-en-20k	42	2	sib200	zh	ur	n	0.8529	0.2059	+0.6471
6	condition-1-en-5k	456	2	sib200	zh	ur	n	0.8284	0.2255	+0.6029
7	condition-5-zh-5k	42	2	xnli	en	zh	n	0.7473	0.1673	+0.5800
8	condition-5-zh-5k	42	2	sib200	ur	zh	n	0.5980	0.0196	+0.5784
9	condition-5-zh-5k	42	1	sib200	ur	zh	n	0.5784	0.0049	+0.5735
10	condition-1-en-5k	123	2	sib200	zh	ur	n	0.7843	0.2108	+0.5735
11	condition-1-en-5k	42	2	sib200	zh	ur	n	0.7696	0.2059	+0.5637
12	condition-5-ur-5k	42	2	sib200	ur	ur	y	0.7500	0.1863	+0.5637
13	condition-1-en-20k	42	2	sib200	es	ur	n	0.8284	0.2745	+0.5539
14	condition-1-en-5k	42	2	xnli	zh	zh	y	0.8154	0.2760	+0.5393
15	condition-1-en-20k	42	1	sib200	es	ur	n	0.6225	0.0980	+0.5245
16	baseline	none	1	sib200	es	ur	n	0.6176	0.0980	+0.5196
17	condition-1-en-5k	123	2	xnli	zh	zh	y	0.8000	0.2922	+0.5078
18	condition-1-en-20k	42	2	xnli	zh	zh	y	0.8297	0.3267	+0.5030
19	condition-1-en-5k	456	2	xnli	zh	zh	y	0.8659	0.3651	+0.5008
20	condition-1-en-20k	42	1	sib200	zh	ur	n	0.6078	0.1127	+0.4951
21	condition-1-en-5k	42	1	sib200	es	ur	n	0.5931	0.1029	+0.4902
22	condition-5-es-5k	42	1	sib200	zh	es	n	0.5490	0.0588	+0.4902
23	condition-1-en-5k	123	1	sib200	es	ur	n	0.6078	0.1176	+0.4902
24	condition-1-en-5k	456	2	sib200	ur	ur	y	0.5882	0.1029	+0.4853
25	baseline	none	1	sib200	zh	ur	n	0.6127	0.1324	+0.4804
26	baseline	none	1	sib200	ur	ur	y	0.5098	0.0343	+0.4755
27	condition-1-en-20k	42	2	sib200	ur	ur	y	0.5637	0.0882	+0.4755
28	condition-1-en-5k	456	2	xnli	es	zh	n	0.7709	0.3024	+0.4685
29	condition-1-en-5k	456	1	sib200	es	ur	n	0.5980	0.1324	+0.4657
30	condition-1-en-5k	42	1	sib200	zh	ur	n	0.5539	0.0980	+0.4559
31	condition-1-en-5k	456	1	sib200	zh	ur	n	0.5833	0.1275	+0.4559
32	condition-1-en-20k	42	1	sib200	ur	ur	y	0.4657	0.0147	+0.4510
33	condition-1-en-5k	42	2	xnli	es	zh	n	0.6723	0.2238	+0.4485
34	condition-1-en-5k	456	2	sib200	es	ur	n	0.7794	0.3333	+0.4461
35	baseline	none	2	sib200	ur	ur	y	0.5735	0.1275	+0.4461
36	condition-1-en-5k	123	1	sib200	zh	ur	n	0.5490	0.1127	+0.4363
37	condition-1-en-5k	42	2	sib200	ur	ur	y	0.5490	0.1127	+0.4363
38	condition-5-zh-5k	42	2	xnli	zh	zh	y	0.5327	0.0992	+0.4335
39	condition-5-ur-5k	42	1	sib200	es	ur	n	0.4510	0.0196	+0.4314
40	condition-1-en-5k	123	2	sib200	ur	ur	y	0.5441	0.1127	+0.4314
41	baseline	none	2	xnli	zh	zh	y	0.8253	0.4054	+0.4200
42	condition-1-en-5k	456	1	sib200	ur	ur	y	0.4412	0.0245	+0.4167
43	condition-5-ur-5k	42	1	sib200	zh	ur	n	0.4265	0.0098	+0.4167
44	condition-5-zh-5k	42	2	xnli	ur	zh	n	0.9291	0.5182	+0.4110
45	condition-1-en-5k	123	1	sib200	ur	ur	y	0.4314	0.0245	+0.4069
46	condition-5-zh-5k	42	1	sib200	zh	en	n	0.4069	0.0000	+0.4069
47	condition-1-en-5k	42	2	sib200	es	ur	n	0.7108	0.3088	+0.4020
48	condition-1-en-5k	123	2	xnli	es	zh	n	0.5725	0.1715	+0.4010
49	condition-5-es-5k	42	1	sib200	es	es	y	0.4363	0.0392	+0.3971
50	condition-5-es-5k	42	1	sib200	en	es	n	0.4314	0.0441	+0.3873
