target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	1	belebele	en	en	y	baseline		n	0.7678	1
en	1	belebele	en	en	y	condition-1-en-5k	5k	y	0.7781	3
en	1	belebele	en	en	y	condition-1-en-20k	20k	y	0.7767	1
en	1	belebele	en	es	n	baseline		n	0.7611	1
en	1	belebele	en	es	n	condition-1-en-5k	5k	n	0.7604	3
en	1	belebele	en	es	n	condition-1-en-20k	20k	n	0.7611	1
en	1	belebele	en	ur	n	baseline		n	0.7411	1
en	1	belebele	en	ur	n	condition-1-en-5k	5k	n	0.7548	3
en	1	belebele	en	ur	n	condition-1-en-20k	20k	n	0.7611	1
en	1	belebele	en	zh	n	baseline		n	0.7889	1
en	1	belebele	en	zh	n	condition-1-en-5k	5k	n	0.7885	3
en	1	belebele	en	zh	n	condition-1-en-20k	20k	n	0.7900	1
en	1	belebele	es	en	n	baseline		n	0.6911	1
en	1	belebele	es	en	n	condition-1-en-5k	5k	y	0.7000	3
en	1	belebele	es	en	n	condition-1-en-20k	20k	y	0.7000	1
en	1	belebele	es	es	y	baseline		n	0.6722	1
en	1	belebele	es	es	y	condition-1-en-5k	5k	n	0.6719	3
en	1	belebele	es	es	y	condition-1-en-20k	20k	n	0.6667	1
en	1	belebele	es	ur	n	baseline		n	0.6389	1
en	1	belebele	es	ur	n	condition-1-en-5k	5k	n	0.6422	3
en	1	belebele	es	ur	n	condition-1-en-20k	20k	n	0.6344	1
en	1	belebele	es	zh	n	baseline		n	0.6956	1
en	1	belebele	es	zh	n	condition-1-en-5k	5k	n	0.6937	3
en	1	belebele	es	zh	n	condition-1-en-20k	20k	n	0.6989	1
en	1	belebele	ur	en	n	baseline		n	0.6044	1
en	1	belebele	ur	en	n	condition-1-en-5k	5k	y	0.6130	3
en	1	belebele	ur	en	n	condition-1-en-20k	20k	y	0.6144	1
en	1	belebele	ur	es	n	baseline		n	0.5389	1
en	1	belebele	ur	es	n	condition-1-en-5k	5k	n	0.5356	3
en	1	belebele	ur	es	n	condition-1-en-20k	20k	n	0.5389	1
en	1	belebele	ur	ur	y	baseline		n	0.5289	1
