condition	target_lang	template	benchmark	data	instr	matched_diagonal	matched_instr	n_seeds	mean_acc	std_acc	min_acc	max_acc	total_count	total_correct
baseline		1	belebele	en	en	y	n	1	0.7678	nan	0.7678	0.7678	900	691
baseline		1	belebele	en	es	n	n	1	0.7611	nan	0.7611	0.7611	900	685
baseline		1	belebele	en	ur	n	n	1	0.7411	nan	0.7411	0.7411	900	667
baseline		1	belebele	en	zh	n	n	1	0.7889	nan	0.7889	0.7889	900	710
baseline		1	belebele	es	en	n	n	1	0.6911	nan	0.6911	0.6911	900	622
baseline		1	belebele	es	es	y	n	1	0.6722	nan	0.6722	0.6722	900	605
baseline		1	belebele	es	ur	n	n	1	0.6389	nan	0.6389	0.6389	900	575
baseline		1	belebele	es	zh	n	n	1	0.6956	nan	0.6956	0.6956	900	626
baseline		1	belebele	ur	en	n	n	1	0.6044	nan	0.6044	0.6044	900	544
baseline		1	belebele	ur	es	n	n	1	0.5389	nan	0.5389	0.5389	900	485
baseline		1	belebele	ur	ur	y	n	1	0.5289	nan	0.5289	0.5289	900	476
baseline		1	belebele	ur	zh	n	n	1	0.5922	nan	0.5922	0.5922	900	533
baseline		1	belebele	zh	en	n	n	1	0.7500	nan	0.7500	0.7500	900	675
baseline		1	belebele	zh	es	n	n	1	0.7033	nan	0.7033	0.7033	900	633
baseline		1	belebele	zh	ur	n	n	1	0.7011	nan	0.7011	0.7011	900	631
baseline		1	belebele	zh	zh	y	n	1	0.7756	nan	0.7756	0.7756	900	698
baseline		1	csqa	en	en	y	n	1	0.6070	nan	0.6070	0.6070	1000	607
baseline		1	csqa	en	es	n	n	1	0.6040	nan	0.6040	0.6040	1000	604
baseline		1	csqa	en	ur	n	n	1	0.5850	nan	0.5850	0.5850	1000	585
baseline		1	csqa	en	zh	n	n	1	0.6410	nan	0.6410	0.6410	1000	641
baseline		1	csqa	es	en	n	n	1	0.5240	nan	0.5240	0.5240	1000	524
baseline		1	csqa	es	es	y	n	1	0.5290	nan	0.5290	0.5290	1000	529
baseline		1	csqa	es	ur	n	n	1	0.4730	nan	0.4730	0.4730	1000	473
baseline		1	csqa	es	zh	n	n	1	0.5470	nan	0.5470	0.5470	1000	547
baseline		1	csqa	ur	en	n	n	1	0.4240	nan	0.4240	0.4240	1000	424
baseline		1	csqa	ur	es	n	n	1	0.3960	nan	0.3960	0.3960	1000	396
baseline		1	csqa	ur	ur	y	n	1	0.4040	nan	0.4040	0.4040	1000	404
baseline		1	csqa	ur	zh	n	n	1	0.3760	nan	0.3760	0.3760	1000	376
baseline		1	csqa	zh	en	n	n	1	0.5450	nan	0.5450	0.5450	1000	545
baseline		1	csqa	zh	es	n	n	1	0.5000	nan	0.5000	0.5000	1000	500
baseline		1	csqa	zh	ur	n	n	1	0.4810	nan	0.4810	0.4810	1000	481
baseline		1	csqa	zh	zh	y	n	1	0.5340	nan	0.5340	0.5340	1000	534
baseline		1	sib200	en	en	y	n	1	0.7549	nan	0.7549	0.7549	204	154
baseline		1	sib200	en	es	n	n	1	0.6618	nan	0.6618	0.6618	204	135
baseline		1	sib200	en	ur	n	n	1	0.4951	nan	0.4951	0.4951	204	101
baseline		1	sib200	en	zh	n	n	1	0.7157	nan	0.7157	0.7157	204	146
baseline		1	sib200	es	en	n	n	1	0.7745	nan	0.7745	0.7745	204	158
baseline		1	sib200	es	es	y	n	1	0.6520	nan	0.6520	0.6520	204	133
baseline		1	sib200	es	ur	n	n	1	0.5343	nan	0.5343	0.5343	204	109
baseline		1	sib200	es	zh	n	n	1	0.6373	nan	0.6373	0.6373	204	130
baseline		1	sib200	ur	en	n	n	1	0.7255	nan	0.7255	0.7255	204	148
baseline		1	sib200	ur	es	n	n	1	0.5343	nan	0.5343	0.5343	204	109
baseline		1	sib200	ur	ur	y	n	1	0.5735	nan	0.5735	0.5735	204	117
baseline		1	sib200	ur	zh	n	n	1	0.5735	nan	0.5735	0.5735	204	117
baseline		1	sib200	zh	en	n	n	1	0.7892	nan	0.7892	0.7892	204	161
baseline		1	sib200	zh	es	n	n	1	0.5882	nan	0.5882	0.5882	204	120
baseline		1	sib200	zh	ur	n	n	1	0.5294	nan	0.5294	0.5294	204	108
baseline		1	sib200	zh	zh	y	n	1	0.6667	nan	0.6667	0.6667	204	136
baseline		1	xnli	en	en	y	n	1	0.4998	nan	0.4998	0.4998	5010	2504
baseline		1	xnli	en	es	n	n	1	0.3980	nan	0.3980	0.3980	5010	1994
baseline		1	xnli	en	ur	n	n	1	0.3816	nan	0.3816	0.3816	5010	1912
baseline		1	xnli	en	zh	n	n	1	0.3333	nan	0.3333	0.3333	5010	1670
baseline		1	xnli	es	en	n	n	1	0.4525	nan	0.4525	0.4525	5010	2267
