condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
baseline	none	belebele	en	en	n	y	0.7678	0.7822	+0.0144	900	900	691	704
baseline	none	belebele	en	es	n	n	0.7611	0.7756	+0.0144	900	900	685	698
baseline	none	belebele	en	ur	n	n	0.7411	0.7489	+0.0078	900	900	667	674
baseline	none	belebele	en	zh	n	n	0.7889	0.8000	+0.0111	900	900	710	720
baseline	none	belebele	es	en	n	n	0.6911	0.7011	+0.0100	900	900	622	631
baseline	none	belebele	es	es	n	y	0.6722	0.6989	+0.0267	900	900	605	629
baseline	none	belebele	es	ur	n	n	0.6389	0.6389	+0.0000	900	900	575	575
baseline	none	belebele	es	zh	n	n	0.6956	0.7167	+0.0211	900	900	626	645
baseline	none	belebele	ur	en	n	n	0.6044	0.6144	+0.0100	900	900	544	553
baseline	none	belebele	ur	es	n	n	0.5389	0.5544	+0.0156	900	900	485	499
baseline	none	belebele	ur	ur	n	y	0.5289	0.5233	-0.0056	900	900	476	471
baseline	none	belebele	ur	zh	n	n	0.5922	0.6067	+0.0144	900	900	533	546
baseline	none	belebele	zh	en	n	n	0.7500	0.7589	+0.0089	900	900	675	683
baseline	none	belebele	zh	es	n	n	0.7033	0.7367	+0.0333	900	900	633	663
baseline	none	belebele	zh	ur	n	n	0.7011	0.7000	-0.0011	900	900	631	630
baseline	none	belebele	zh	zh	n	y	0.7756	0.7611	-0.0144	900	900	698	685
baseline	none	csqa	en	en	n	y	0.6070	0.6070	+0.0000	1000	1000	607	607
baseline	none	csqa	en	es	n	n	0.6040	0.6230	+0.0190	1000	1000	604	623
baseline	none	csqa	en	ur	n	n	0.5850	0.5790	-0.0060	1000	1000	585	579
baseline	none	csqa	en	zh	n	n	0.6410	0.6310	-0.0100	1000	1000	641	631
baseline	none	csqa	es	en	n	n	0.5240	0.5170	-0.0070	1000	1000	524	517
baseline	none	csqa	es	es	n	y	0.5290	0.5320	+0.0030	1000	1000	529	532
baseline	none	csqa	es	ur	n	n	0.4730	0.4800	+0.0070	1000	1000	473	480
baseline	none	csqa	es	zh	n	n	0.5470	0.5300	-0.0170	1000	1000	547	530
baseline	none	csqa	ur	en	n	n	0.4240	0.4170	-0.0070	1000	1000	424	417
baseline	none	csqa	ur	es	n	n	0.3960	0.3930	-0.0030	1000	1000	396	393
baseline	none	csqa	ur	ur	n	y	0.4040	0.3920	-0.0120	1000	1000	404	392
baseline	none	csqa	ur	zh	n	n	0.3760	0.4020	+0.0260	1000	1000	376	402
baseline	none	csqa	zh	en	n	n	0.5450	0.5320	-0.0130	1000	1000	545	532
baseline	none	csqa	zh	es	n	n	0.5000	0.5100	+0.0100	1000	1000	500	510
baseline	none	csqa	zh	ur	n	n	0.4810	0.4660	-0.0150	1000	1000	481	466
baseline	none	csqa	zh	zh	n	y	0.5340	0.5320	-0.0020	1000	1000	534	532
baseline	none	sib200	en	en	n	y	0.7549	0.7206	-0.0343	204	204	154	147
baseline	none	sib200	en	es	n	n	0.6618	0.5539	-0.1078	204	204	135	113
baseline	none	sib200	en	ur	n	n	0.4951	0.3971	-0.0980	204	204	101	81
baseline	none	sib200	en	zh	n	n	0.7157	0.6520	-0.0637	204	204	146	133
baseline	none	sib200	es	en	n	n	0.7745	0.6765	-0.0980	204	204	158	138
baseline	none	sib200	es	es	n	y	0.6520	0.5147	-0.1373	204	204	133	105
baseline	none	sib200	es	ur	n	n	0.5343	0.3088	-0.2255	204	204	109	63
baseline	none	sib200	es	zh	n	n	0.6373	0.5931	-0.0441	204	204	130	121
baseline	none	sib200	ur	en	n	n	0.7255	0.6814	-0.0441	204	204	148	139
baseline	none	sib200	ur	es	n	n	0.5343	0.6127	+0.0784	204	204	109	125
baseline	none	sib200	ur	ur	n	y	0.5735	0.5294	-0.0441	204	204	117	108
baseline	none	sib200	ur	zh	n	n	0.5735	0.5343	-0.0392	204	204	117	109
baseline	none	sib200	zh	en	n	n	0.7892	0.6961	-0.0931	204	204	161	142
baseline	none	sib200	zh	es	n	n	0.5882	0.5588	-0.0294	204	204	120	114
baseline	none	sib200	zh	ur	n	n	0.5294	0.3971	-0.1324	204	204	108	81
baseline	none	sib200	zh	zh	n	y	0.6667	0.6225	-0.0441	204	204	136	127
baseline	none	xnli	en	en	n	y	0.4998	0.3786	-0.1212	5010	5010	2504	1897
baseline	none	xnli	en	es	n	n	0.3980	0.3806	-0.0174	5010	5010	1994	1907
baseline	none	xnli	en	ur	n	n	0.3816	0.2589	-0.1228	5010	5010	1912	1297
baseline	none	xnli	en	zh	n	n	0.3333	0.3337	+0.0004	5010	5010	1670	1672
baseline	none	xnli	es	en	n	n	0.4525	0.3661	-0.0864	5010	5010	2267	1834
baseline	none	xnli	es	es	n	y	0.4547	0.3770	-0.0776	5010	5010	2278	1889
baseline	none	xnli	es	ur	n	n	0.3433	0.3319	-0.0114	5010	5010	1720	1663
baseline	none	xnli	es	zh	n	n	0.3337	0.2369	-0.0968	5010	5010	1672	1187
baseline	none	xnli	ur	en	n	n	0.4343	0.3357	-0.0986	5010	5010	2176	1682
baseline	none	xnli	ur	es	n	n	0.3727	0.2499	-0.1228	5010	5010	1867	1252
baseline	none	xnli	ur	ur	n	y	0.3327	0.3228	-0.0100	5010	5010	1667	1617
baseline	none	xnli	ur	zh	n	n	0.3311	0.2078	-0.1234	5010	5010	1659	1041
baseline	none	xnli	zh	en	n	n	0.3906	0.4649	+0.0743	5010	5010	1957	2329
baseline	none	xnli	zh	es	n	n	0.3333	0.3637	+0.0303	5010	5010	1670	1822
baseline	none	xnli	zh	ur	n	n	0.3345	0.3341	-0.0004	5010	5010	1676	1674
baseline	none	xnli	zh	zh	n	y	0.3329	0.2491	-0.0838	5010	5010	1668	1248
condition-1-en-20k	42	belebele	en	en	y	y	0.7767	0.7922	+0.0156	900	900	699	713
condition-1-en-20k	42	belebele	en	es	n	n	0.7611	0.7789	+0.0178	900	900	685	701
condition-1-en-20k	42	belebele	en	ur	n	n	0.7611	0.7600	-0.0011	900	900	685	684
condition-1-en-20k	42	belebele	en	zh	n	n	0.7900	0.7967	+0.0067	900	900	711	717
condition-1-en-20k	42	belebele	es	en	y	n	0.7000	0.7189	+0.0189	900	900	630	647
condition-1-en-20k	42	belebele	es	es	n	y	0.6667	0.6833	+0.0167	900	900	600	615
condition-1-en-20k	42	belebele	es	ur	n	n	0.6344	0.6422	+0.0078	900	900	571	578
condition-1-en-20k	42	belebele	es	zh	n	n	0.6989	0.7156	+0.0167	900	900	629	644
condition-1-en-20k	42	belebele	ur	en	y	n	0.6144	0.6222	+0.0078	900	900	553	560
condition-1-en-20k	42	belebele	ur	es	n	n	0.5389	0.5656	+0.0267	900	900	485	509
condition-1-en-20k	42	belebele	ur	ur	n	y	0.5233	0.5156	-0.0078	900	900	471	464
condition-1-en-20k	42	belebele	ur	zh	n	n	0.5944	0.6056	+0.0111	900	900	535	545
condition-1-en-20k	42	belebele	zh	en	y	n	0.7600	0.7622	+0.0022	900	900	684	686
condition-1-en-20k	42	belebele	zh	es	n	n	0.7011	0.7344	+0.0333	900	900	631	661
condition-1-en-20k	42	belebele	zh	ur	n	n	0.7044	0.7033	-0.0011	900	900	634	633
condition-1-en-20k	42	belebele	zh	zh	n	y	0.7656	0.7633	-0.0022	900	900	689	687
condition-1-en-20k	42	csqa	en	en	y	y	0.6150	0.6160	+0.0010	1000	1000	615	616
condition-1-en-20k	42	csqa	en	es	n	n	0.6140	0.6210	+0.0070	1000	1000	614	621
condition-1-en-20k	42	csqa	en	ur	n	n	0.5930	0.5820	-0.0110	1000	1000	593	582
condition-1-en-20k	42	csqa	en	zh	n	n	0.6520	0.6340	-0.0180	1000	1000	652	634
condition-1-en-20k	42	csqa	es	en	y	n	0.5370	0.5270	-0.0100	1000	1000	537	527
condition-1-en-20k	42	csqa	es	es	n	y	0.5230	0.5350	+0.0120	1000	1000	523	535
condition-1-en-20k	42	csqa	es	ur	n	n	0.4830	0.4830	+0.0000	1000	1000	483	483
condition-1-en-20k	42	csqa	es	zh	n	n	0.5530	0.5350	-0.0180	1000	1000	553	535
condition-1-en-20k	42	csqa	ur	en	y	n	0.4320	0.4210	-0.0110	1000	1000	432	421
condition-1-en-20k	42	csqa	ur	es	n	n	0.3940	0.3920	-0.0020	1000	1000	394	392
condition-1-en-20k	42	csqa	ur	ur	n	y	0.4020	0.4000	-0.0020	1000	1000	402	400
condition-1-en-20k	42	csqa	ur	zh	n	n	0.3960	0.4080	+0.0120	1000	1000	396	408
condition-1-en-20k	42	csqa	zh	en	y	n	0.5490	0.5410	-0.0080	1000	1000	549	541
condition-1-en-20k	42	csqa	zh	es	n	n	0.5110	0.5040	-0.0070	1000	1000	511	504
