condition	target_lang	benchmark	n_cells	mean_gap	median_gap	max_gap	brittle_cells_gt_0.10	frac_brittle
baseline		ALL	64	0.0431	0.0190	0.2255	8	0.1250
condition-1-en-20k	en	ALL	64	0.0396	0.0180	0.2184	10	0.1562
condition-1-en-5k	en	ALL	192	0.0366	0.0210	0.1932	22	0.1146
condition-2-es-20k	es	ALL	32	0.0535	0.0315	0.1765	7	0.2188
condition-2-es-5k	es	ALL	96	0.0543	0.0289	0.1863	26	0.2708
condition-2-ur-20k	ur	ALL	32	0.0656	0.0220	0.3431	8	0.2500
condition-2-ur-5k	ur	ALL	96	0.0375	0.0160	0.1618	10	0.1042
condition-2-zh-20k	zh	ALL	32	0.0299	0.0130	0.1729	4	0.1250
condition-2-zh-5k	zh	ALL	96	0.0359	0.0176	0.1607	10	0.1042
condition-3-zh-5k	zh	ALL	32	0.0348	0.0180	0.1341	2	0.0625
condition-5-es-5k	es	ALL	32	0.0452	0.0222	0.1863	5	0.1562
condition-5-ur-5k	ur	ALL	32	0.0360	0.0250	0.1655	4	0.1250
condition-5-zh-5k	zh	ALL	32	0.0345	0.0210	0.1723	3	0.0938
baseline		belebele	16	0.0131	0.0144	0.0333	0	0.0000
baseline		csqa	16	0.0098	0.0100	0.0260	0	0.0000
baseline		sib200	16	0.0821	0.0784	0.2255	4	0.2500
baseline		xnli	16	0.0673	0.0838	0.1234	4	0.2500
condition-1-en-20k	en	belebele	16	0.0121	0.0111	0.0333	0	0.0000
condition-1-en-20k	en	csqa	16	0.0080	0.0080	0.0180	0	0.0000
condition-1-en-20k	en	sib200	16	0.0653	0.0392	0.1520	5	0.3125
condition-1-en-20k	en	xnli	16	0.0731	0.0623	0.2184	5	0.3125
condition-1-en-5k	en	belebele	48	0.0137	0.0111	0.0333	0	0.0000
condition-1-en-5k	en	csqa	48	0.0092	0.0080	0.0270	0	0.0000
condition-1-en-5k	en	sib200	48	0.0634	0.0490	0.1471	10	0.2083
condition-1-en-5k	en	xnli	48	0.0602	0.0423	0.1932	12	0.2500
condition-2-es-20k	es	belebele	8	0.0203	0.0200	0.0433	0	0.0000
condition-2-es-20k	es	csqa	8	0.0105	0.0120	0.0200	0	0.0000
condition-2-es-20k	es	sib200	8	0.1225	0.1275	0.1765	6	0.7500
condition-2-es-20k	es	xnli	8	0.0605	0.0836	0.1056	1	0.1250
condition-2-es-5k	es	belebele	24	0.0185	0.0189	0.0422	0	0.0000
condition-2-es-5k	es	csqa	24	0.0065	0.0040	0.0210	0	0.0000
condition-2-es-5k	es	sib200	24	0.1136	0.1127	0.1863	16	0.6667
condition-2-es-5k	es	xnli	24	0.0785	0.0926	0.1766	10	0.4167
condition-2-ur-20k	ur	belebele	8	0.0062	0.0056	0.0156	0	0.0000
condition-2-ur-20k	ur	csqa	8	0.0111	0.0100	0.0310	0	0.0000
condition-2-ur-20k	ur	sib200	8	0.1538	0.0784	0.3431	3	0.3750
condition-2-ur-20k	ur	xnli	8	0.0914	0.1098	0.1764	5	0.6250
condition-2-ur-5k	ur	belebele	24	0.0081	0.0078	0.0200	0	0.0000
condition-2-ur-5k	ur	csqa	24	0.0115	0.0100	0.0300	0	0.0000
condition-2-ur-5k	ur	sib200	24	0.0662	0.0686	0.1618	4	0.1667
condition-2-ur-5k	ur	xnli	24	0.0643	0.0667	0.1597	6	0.2500
condition-2-zh-20k	zh	belebele	8	0.0078	0.0056	0.0256	0	0.0000
condition-2-zh-20k	zh	csqa	8	0.0105	0.0130	0.0230	0	0.0000
condition-2-zh-20k	zh	sib200	8	0.0392	0.0343	0.1078	1	0.1250
condition-2-zh-20k	zh	xnli	8	0.0622	0.0405	0.1729	3	0.3750
condition-2-zh-5k	zh	belebele	24	0.0103	0.0100	0.0200	0	0.0000
condition-2-zh-5k	zh	csqa	24	0.0135	0.0120	0.0330	0	0.0000
condition-2-zh-5k	zh	sib200	24	0.0654	0.0588	0.1373	4	0.1667
condition-2-zh-5k	zh	xnli	24	0.0544	0.0351	0.1607	6	0.2500
condition-3-zh-5k	zh	belebele	8	0.0103	0.0133	0.0189	0	0.0000
condition-3-zh-5k	zh	csqa	8	0.0100	0.0120	0.0190	0	0.0000
condition-3-zh-5k	zh	sib200	8	0.0711	0.0833	0.1029	1	0.1250
condition-3-zh-5k	zh	xnli	8	0.0479	0.0411	0.1341	1	0.1250
condition-5-es-5k	es	belebele	8	0.0156	0.0200	0.0267	0	0.0000
condition-5-es-5k	es	csqa	8	0.0053	0.0040	0.0170	0	0.0000
condition-5-es-5k	es	sib200	8	0.1164	0.1275	0.1863	5	0.6250
condition-5-es-5k	es	xnli	8	0.0438	0.0467	0.0878	0	0.0000
condition-5-ur-5k	ur	belebele	8	0.0143	0.0178	0.0300	0	0.0000
condition-5-ur-5k	ur	csqa	8	0.0165	0.0180	0.0340	0	0.0000
condition-5-ur-5k	ur	sib200	8	0.0533	0.0392	0.1127	2	0.2500
condition-5-ur-5k	ur	xnli	8	0.0601	0.0493	0.1655	2	0.2500
condition-5-zh-5k	zh	belebele	8	0.0139	0.0122	0.0267	0	0.0000
condition-5-zh-5k	zh	csqa	8	0.0154	0.0180	0.0290	0	0.0000
condition-5-zh-5k	zh	sib200	8	0.0386	0.0441	0.0588	0	0.0000
condition-5-zh-5k	zh	xnli	8	0.0700	0.0493	0.1723	3	0.3750
