benchmark	instr	n_cells	mean_orig_acc	mean_repar_acc	mean_delta_acc	mean_orig_pf	mean_repar_pf	mean_delta_pf
belebele	en	168	0.7217	0.7217	+0.0000	0.0000	0.0000	+0.0000
belebele	es	80	0.6870	0.6870	+0.0000	0.0000	0.0000	+0.0000
belebele	ur	80	0.6778	0.6778	+0.0000	0.0006	0.0006	+0.0000
belebele	zh	88	0.7268	0.7268	+0.0000	0.0001	0.0001	+0.0000
csqa	en	168	0.5193	0.5193	+0.0000	0.0000	0.0000	+0.0000
csqa	es	80	0.5137	0.5137	+0.0000	0.0002	0.0002	+0.0000
csqa	ur	80	0.4832	0.4832	+0.0000	0.0000	0.0000	+0.0000
csqa	zh	88	0.5301	0.5301	+0.0000	0.0000	0.0000	+0.0000
sib200	en	168	0.6970	0.6950	-0.0020	0.0057	0.0072	+0.0015
sib200	es	80	0.4886	0.5479	+0.0593	0.0807	0.0095	-0.0712
sib200	ur	80	0.3606	0.5175	+0.1569	0.3561	0.1667	-0.1895
sib200	zh	88	0.5735	0.6150	+0.0414	0.0693	0.0109	-0.0584
xnli	en	168	0.4190	0.4190	+0.0000	0.0018	0.0018	-0.0000
xnli	es	80	0.3936	0.3936	+0.0000	0.0080	0.0080	+0.0000
xnli	ur	80	0.3440	0.3491	+0.0052	0.0516	0.0366	-0.0149
xnli	zh	88	0.2839	0.3250	+0.0411	0.1742	0.0807	-0.0935
