condition	n_cells	mean_orig_acc	mean_repar_acc	mean_delta_acc	median_delta_acc	n_improved	n_regressed	n_flat	mean_orig_pf	mean_repar_pf	mean_delta_pf	median_delta_pf	min_delta_acc	max_delta_acc	min_delta_pf	max_delta_pf
baseline	128	0.5091	0.5382	+0.0290	+0.0000	29	3	96	0.0754	0.0329	-0.0425	+0.0000	-0.0147	+0.3578	-0.5196	+0.0147
condition-1-en-20k	128	0.5083	0.5388	+0.0306	+0.0000	28	2	98	0.0713	0.0236	-0.0477	+0.0000	-0.0147	+0.4265	-0.6471	+0.0147
condition-1-en-5k	384	0.5121	0.5415	+0.0294	+0.0000	85	10	289	0.0688	0.0227	-0.0461	+0.0000	-0.0245	+0.3971	-0.6029	+0.0294
condition-2-es-20k	64	0.5695	0.5687	-0.0008	+0.0000	0	5	59	0.0002	0.0020	+0.0018	+0.0000	-0.0196	+0.0000	+0.0000	+0.0343
condition-2-es-5k	192	0.5678	0.5679	+0.0001	+0.0000	9	9	174	0.0011	0.0020	+0.0009	+0.0000	-0.0245	+0.0441	-0.0441	+0.0490
condition-2-ur-20k	64	0.5540	0.5445	-0.0095	+0.0000	1	12	51	0.0051	0.0326	+0.0275	+0.0000	-0.1422	+0.0539	-0.0784	+0.4265
condition-2-ur-5k	192	0.5759	0.5690	-0.0069	+0.0000	0	38	154	0.0030	0.0252	+0.0222	+0.0000	-0.1078	+0.0000	+0.0000	+0.4167
condition-2-zh-20k	64	0.5765	0.5774	+0.0008	+0.0000	8	4	52	0.0029	0.0017	-0.0012	+0.0000	-0.0098	+0.0392	-0.0490	+0.0098
condition-2-zh-5k	192	0.5794	0.5796	+0.0002	+0.0000	16	11	165	0.0068	0.0058	-0.0010	+0.0000	-0.0147	+0.0259	-0.0571	+0.0147
condition-3-zh-5k	64	0.5778	0.5768	-0.0010	+0.0000	2	8	54	0.0032	0.0071	+0.0040	+0.0000	-0.0147	+0.0026	-0.0060	+0.0588
condition-5-es-5k	64	0.5041	0.5309	+0.0267	+0.0000	9	2	53	0.0405	0.0048	-0.0357	+0.0000	-0.0049	+0.3382	-0.4902	+0.0049
condition-5-ur-5k	64	0.4834	0.5292	+0.0458	+0.0000	10	2	52	0.0783	0.0102	-0.0681	+0.0000	-0.0049	+0.5147	-0.7598	+0.0049
condition-5-zh-5k	64	0.4878	0.5348	+0.0470	+0.0000	18	0	46	0.1071	0.0203	-0.0868	+0.0000	+0.0000	+0.3480	-0.6577	+0.0049
