condition	benchmark	n_cells	mean_orig_acc	mean_repar_acc	mean_delta_acc	mean_orig_pf	mean_repar_pf	mean_delta_pf
baseline	belebele	32	0.6897	0.6897	+0.0000	0.0002	0.0002	+0.0000
baseline	csqa	32	0.5098	0.5098	+0.0000	0.0004	0.0004	+0.0000
baseline	sib200	32	0.5002	0.6017	+0.1016	0.1945	0.0568	-0.1377
baseline	xnli	32	0.3370	0.3516	+0.0146	0.1065	0.0742	-0.0323
condition-1-en-20k	belebele	32	0.6922	0.6922	+0.0000	0.0001	0.0001	+0.0000
condition-1-en-20k	csqa	32	0.5151	0.5151	+0.0000	0.0001	0.0001	+0.0000
condition-1-en-20k	sib200	32	0.4819	0.5841	+0.1022	0.1857	0.0391	-0.1466
condition-1-en-20k	xnli	32	0.3437	0.3639	+0.0202	0.0994	0.0553	-0.0441
condition-1-en-5k	belebele	96	0.6940	0.6940	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	csqa	96	0.5128	0.5128	+0.0000	0.0001	0.0001	+0.0000
condition-1-en-5k	sib200	96	0.4970	0.5927	+0.0956	0.1810	0.0450	-0.1360
condition-1-en-5k	xnli	96	0.3447	0.3667	+0.0221	0.0940	0.0455	-0.0485
condition-2-es-20k	belebele	16	0.7046	0.7046	+0.0000	0.0000	0.0000	+0.0000
condition-2-es-20k	csqa	16	0.5231	0.5231	+0.0000	0.0000	0.0000	+0.0000
condition-2-es-20k	sib200	16	0.6382	0.6348	-0.0034	0.0000	0.0070	+0.0070
condition-2-es-20k	xnli	16	0.4123	0.4123	+0.0000	0.0008	0.0008	+0.0000
condition-2-es-5k	belebele	48	0.7076	0.7076	+0.0000	0.0000	0.0000	+0.0000
condition-2-es-5k	csqa	48	0.5209	0.5209	+0.0000	0.0000	0.0000	+0.0000
condition-2-es-5k	sib200	48	0.6288	0.6291	+0.0003	0.0032	0.0069	+0.0038
condition-2-es-5k	xnli	48	0.4139	0.4139	+0.0000	0.0011	0.0011	+0.0000
condition-2-ur-20k	belebele	16	0.7005	0.7005	+0.0000	0.0002	0.0002	+0.0000
condition-2-ur-20k	csqa	16	0.5014	0.5014	+0.0000	0.0001	0.0001	+0.0000
condition-2-ur-20k	sib200	16	0.6069	0.5689	-0.0380	0.0196	0.1296	+0.1100
condition-2-ur-20k	xnli	16	0.4070	0.4070	+0.0000	0.0004	0.0004	+0.0000
condition-2-ur-5k	belebele	48	0.7226	0.7226	+0.0000	0.0000	0.0000	+0.0000
condition-2-ur-5k	csqa	48	0.5074	0.5074	+0.0000	0.0000	0.0000	+0.0000
condition-2-ur-5k	sib200	48	0.6734	0.6456	-0.0278	0.0116	0.1003	+0.0886
condition-2-ur-5k	xnli	48	0.4002	0.4002	+0.0000	0.0005	0.0005	+0.0000
condition-2-zh-20k	belebele	16	0.7268	0.7268	+0.0000	0.0001	0.0001	+0.0000
condition-2-zh-20k	csqa	16	0.5343	0.5343	+0.0000	0.0000	0.0000	+0.0000
condition-2-zh-20k	sib200	16	0.6657	0.6685	+0.0028	0.0074	0.0034	-0.0040
condition-2-zh-20k	xnli	16	0.3794	0.3799	+0.0005	0.0044	0.0035	-0.0009
condition-2-zh-5k	belebele	48	0.7306	0.7306	+0.0000	0.0001	0.0001	+0.0000
condition-2-zh-5k	csqa	48	0.5297	0.5297	+0.0000	0.0000	0.0000	+0.0000
condition-2-zh-5k	sib200	48	0.6838	0.6830	-0.0008	0.0040	0.0045	+0.0005
condition-2-zh-5k	xnli	48	0.3736	0.3752	+0.0017	0.0231	0.0188	-0.0044
condition-3-zh-5k	belebele	16	0.7250	0.7250	+0.0000	0.0000	0.0000	+0.0000
condition-3-zh-5k	csqa	16	0.5328	0.5328	+0.0000	0.0000	0.0000	+0.0000
condition-3-zh-5k	sib200	16	0.6685	0.6642	-0.0043	0.0015	0.0178	+0.0162
condition-3-zh-5k	xnli	16	0.3851	0.3853	+0.0002	0.0111	0.0107	-0.0004
condition-5-es-5k	belebele	16	0.7013	0.7013	+0.0000	0.0001	0.0001	+0.0000
condition-5-es-5k	csqa	16	0.5010	0.5010	+0.0000	0.0000	0.0000	+0.0000
condition-5-es-5k	sib200	16	0.4292	0.5362	+0.1069	0.1578	0.0150	-0.1428
condition-5-es-5k	xnli	16	0.3851	0.3851	+0.0000	0.0042	0.0042	+0.0000
condition-5-ur-5k	belebele	16	0.6999	0.6999	+0.0000	0.0008	0.0008	+0.0000
condition-5-ur-5k	csqa	16	0.4575	0.4575	+0.0000	0.0000	0.0000	+0.0000
condition-5-ur-5k	sib200	16	0.4023	0.5855	+0.1832	0.3097	0.0374	-0.2724
condition-5-ur-5k	xnli	16	0.3740	0.3740	+0.0000	0.0027	0.0027	+0.0000
condition-5-zh-5k	belebele	16	0.7311	0.7311	+0.0000	0.0002	0.0002	+0.0000
condition-5-zh-5k	csqa	16	0.5027	0.5027	+0.0000	0.0000	0.0000	+0.0000
condition-5-zh-5k	sib200	16	0.4035	0.5475	+0.1440	0.2261	0.0095	-0.2166
condition-5-zh-5k	xnli	16	0.3139	0.3579	+0.0439	0.2021	0.0715	-0.1306
