condition	benchmark	n_cells	mean_baseline_orig	mean_cond_orig	mean_delta_orig	mean_baseline_rep	mean_cond_rep	mean_delta_rep	n_wins_orig	n_losses_orig	n_wins_rep	n_losses_rep	n_flip_win_to_loss	n_flip_loss_to_win
condition-1-en-20k	belebele	32	0.6897	0.6922	+0.0026	0.6897	0.6922	+0.0026	19	11	19	11	0	0
condition-1-en-20k	csqa	32	0.5098	0.5151	+0.0053	0.5098	0.5151	+0.0053	26	6	26	6	0	0
condition-1-en-20k	sib200	32	0.5002	0.4819	-0.0182	0.6017	0.5841	-0.0176	6	21	4	24	4	3
condition-1-en-20k	xnli	32	0.3370	0.3437	+0.0067	0.3516	0.3639	+0.0123	18	13	21	10	0	3
condition-1-en-5k	belebele	96	0.6897	0.6940	+0.0043	0.6897	0.6940	+0.0043	66	21	66	21	0	0
condition-1-en-5k	csqa	96	0.5098	0.5128	+0.0030	0.5098	0.5128	+0.0030	63	28	63	28	0	0
condition-1-en-5k	sib200	96	0.5002	0.4970	-0.0031	0.6017	0.5927	-0.0090	35	50	15	71	23	6
condition-1-en-5k	xnli	96	0.3370	0.3447	+0.0076	0.3516	0.3667	+0.0151	62	29	70	22	0	7
condition-2-es-20k	belebele	16	0.6944	0.7046	+0.0101	0.6944	0.7046	+0.0101	14	2	14	2	0	0
condition-2-es-20k	csqa	16	0.5162	0.5231	+0.0069	0.5162	0.5231	+0.0069	12	4	12	4	0	0
condition-2-es-20k	sib200	16	0.6155	0.6382	+0.0227	0.6559	0.6348	-0.0211	7	8	4	11	3	0
condition-2-es-20k	xnli	16	0.3908	0.4123	+0.0215	0.3908	0.4123	+0.0215	12	4	12	4	0	0
condition-2-es-5k	belebele	48	0.6944	0.7076	+0.0132	0.6944	0.7076	+0.0132	47	0	47	0	0	0
condition-2-es-5k	csqa	48	0.5162	0.5209	+0.0046	0.5162	0.5209	+0.0046	35	13	35	13	0	0
condition-2-es-5k	sib200	48	0.6155	0.6288	+0.0133	0.6559	0.6291	-0.0269	21	24	11	37	10	0
condition-2-es-5k	xnli	48	0.3908	0.4139	+0.0231	0.3908	0.4139	+0.0231	32	16	32	16	0	0
condition-2-ur-20k	belebele	16	0.6807	0.7005	+0.0198	0.6807	0.7005	+0.0198	12	4	12	4	0	0
condition-2-ur-20k	csqa	16	0.5021	0.5014	-0.0006	0.5021	0.5014	-0.0006	11	5	11	5	0	0
