condition	instr	n_cells	mean_baseline_orig	mean_cond_orig	mean_delta_orig	mean_baseline_rep	mean_cond_rep	mean_delta_rep	n_wins_orig	n_losses_orig	n_wins_rep	n_losses_rep	n_flip_win_to_loss	n_flip_loss_to_win
condition-1-en-20k	en	32	0.5943	0.5894	-0.0049	0.5933	0.5885	-0.0047	20	11	20	10	0	0
condition-1-en-20k	es	32	0.5142	0.5123	-0.0019	0.5355	0.5285	-0.0069	11	18	11	19	0	0
condition-1-en-20k	ur	32	0.4155	0.4203	+0.0048	0.4839	0.4978	+0.0139	20	10	22	8	1	4
condition-1-en-20k	zh	32	0.5126	0.5109	-0.0016	0.5401	0.5405	+0.0004	18	12	17	14	3	2
condition-1-en-5k	en	96	0.5943	0.5928	-0.0015	0.5933	0.5911	-0.0022	55	38	55	39	0	0
condition-1-en-5k	es	96	0.5142	0.5173	+0.0032	0.5355	0.5358	+0.0004	49	39	44	46	4	0
condition-1-en-5k	ur	96	0.4155	0.4206	+0.0050	0.4839	0.4919	+0.0080	67	21	67	23	11	9
condition-1-en-5k	zh	96	0.5126	0.5177	+0.0051	0.5401	0.5474	+0.0073	55	30	48	34	8	4
condition-2-es-20k	en	32	0.5943	0.5932	-0.0011	0.5933	0.5920	-0.0012	18	13	18	13	0	0
condition-2-es-20k	es	32	0.5142	0.5458	+0.0317	0.5355	0.5454	+0.0099	27	5	24	8	3	0
condition-2-es-5k	en	96	0.5943	0.5932	-0.0011	0.5933	0.5923	-0.0010	54	39	54	41	0	0
condition-2-es-5k	es	96	0.5142	0.5424	+0.0282	0.5355	0.5434	+0.0080	81	14	71	25	10	0
condition-2-ur-20k	en	32	0.5943	0.5915	-0.0028	0.5933	0.5877	-0.0056	18	13	18	14	0	0
condition-2-ur-20k	ur	32	0.4155	0.5164	+0.1009	0.4839	0.5013	+0.0174	28	4	23	9	5	0
condition-2-ur-5k	en	96	0.5943	0.6018	+0.0075	0.5933	0.5981	+0.0048	64	31	64	31	0	0
condition-2-ur-5k	ur	96	0.4155	0.5500	+0.1344	0.4839	0.5398	+0.0559	84	12	77	19	7	0
condition-2-zh-20k	en	32	0.5943	0.5947	+0.0004	0.5933	0.5938	+0.0006	19	12	19	12	0	0
condition-2-zh-20k	zh	32	0.5126	0.5584	+0.0458	0.5401	0.5609	+0.0208	28	3	26	4	1	0
condition-2-zh-5k	en	96	0.5943	0.5933	-0.0010	0.5933	0.5925	-0.0007	51	43	49	42	0	0
condition-2-zh-5k	zh	96	0.5126	0.5655	+0.0529	0.5401	0.5667	+0.0266	83	13	82	14	1	0
condition-3-zh-5k	en	32	0.5943	0.5998	+0.0055	0.5933	0.5988	+0.0055	23	8	23	8	0	0
condition-3-zh-5k	zh	32	0.5126	0.5559	+0.0433	0.5401	0.5549	+0.0148	23	7	20	10	3	0
condition-5-es-5k	en	32	0.5943	0.5522	-0.0421	0.5933	0.5532	-0.0401	9	23	9	23	0	0
condition-5-es-5k	es	32	0.5142	0.4560	-0.0581	0.5355	0.5086	-0.0269	11	21	11	20	0	0
condition-5-ur-5k	en	32	0.5943	0.5668	-0.0275	0.5933	0.5676	-0.0256	10	22	10	22	0	0
condition-5-ur-5k	ur	32	0.4155	0.4000	-0.0155	0.4839	0.4909	+0.0069	15	17	16	16	2	3
condition-5-zh-5k	en	32	0.5943	0.5484	-0.0459	0.5933	0.5668	-0.0264	11	21	12	20	0	1
condition-5-zh-5k	zh	32	0.5126	0.4272	-0.0854	0.5401	0.5028	-0.0373	14	18	15	17	0	1
