condition	n_cells	mean_baseline_orig	mean_cond_orig	mean_delta_orig	mean_baseline_rep	mean_cond_rep	mean_delta_rep	n_wins_orig	n_losses_orig	n_wins_rep	n_losses_rep	n_flip_win_to_loss	n_flip_loss_to_win
condition-1-en-20k	128	0.5091	0.5083	-0.0009	0.5382	0.5388	+0.0007	69	51	70	51	4	6
condition-1-en-5k	384	0.5091	0.5121	+0.0030	0.5382	0.5415	+0.0034	226	128	214	142	23	13
condition-2-es-20k	64	0.5542	0.5695	+0.0153	0.5644	0.5687	+0.0043	45	18	42	21	3	0
condition-2-es-5k	192	0.5542	0.5678	+0.0135	0.5644	0.5679	+0.0035	135	53	125	66	10	0
condition-2-ur-20k	64	0.5049	0.5540	+0.0490	0.5386	0.5445	+0.0059	46	17	41	23	5	0
condition-2-ur-5k	192	0.5049	0.5759	+0.0710	0.5386	0.5690	+0.0304	148	43	141	50	7	0
condition-2-zh-20k	64	0.5535	0.5765	+0.0231	0.5667	0.5774	+0.0107	47	15	45	16	1	0
condition-2-zh-5k	192	0.5535	0.5794	+0.0260	0.5667	0.5796	+0.0129	134	56	131	56	1	0
condition-3-zh-5k	64	0.5535	0.5778	+0.0244	0.5667	0.5768	+0.0101	46	15	43	18	3	0
condition-5-es-5k	64	0.5542	0.5041	-0.0501	0.5644	0.5309	-0.0335	20	44	20	43	0	0
condition-5-ur-5k	64	0.5049	0.4834	-0.0215	0.5386	0.5292	-0.0094	25	39	26	38	2	3
condition-5-zh-5k	64	0.5535	0.4878	-0.0657	0.5667	0.5348	-0.0319	25	39	27	37	0	2
