condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	baseline_pf_orig	cond_pf_orig	baseline_pf_rep	cond_pf_rep
condition-1-en-20k	42	1	belebele	en	en	0.7678	0.7767	+0.0089	0.7678	0.7767	+0.0089	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	en	es	0.7611	0.7611	+0.0000	0.7611	0.7611	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	en	ur	0.7411	0.7611	+0.0200	0.7411	0.7611	+0.0200	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	en	zh	0.7889	0.7900	+0.0011	0.7889	0.7900	+0.0011	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	es	en	0.6911	0.7000	+0.0089	0.6911	0.7000	+0.0089	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	es	es	0.6722	0.6667	-0.0056	0.6722	0.6667	-0.0056	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	es	ur	0.6389	0.6344	-0.0044	0.6389	0.6344	-0.0044	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	es	zh	0.6956	0.6989	+0.0033	0.6956	0.6989	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	ur	en	0.6044	0.6144	+0.0100	0.6044	0.6144	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	ur	es	0.5389	0.5389	+0.0000	0.5389	0.5389	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	ur	ur	0.5289	0.5233	-0.0056	0.5289	0.5233	-0.0056	0.0044	0.0011	0.0044	0.0011
condition-1-en-20k	42	1	belebele	ur	zh	0.5922	0.5944	+0.0022	0.5922	0.5944	+0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	zh	en	0.7500	0.7600	+0.0100	0.7500	0.7600	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	zh	es	0.7033	0.7011	-0.0022	0.7033	0.7011	-0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	zh	ur	0.7011	0.7044	+0.0033	0.7011	0.7044	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	belebele	zh	zh	0.7756	0.7656	-0.0100	0.7756	0.7656	-0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	en	en	0.6070	0.6150	+0.0080	0.6070	0.6150	+0.0080	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	en	es	0.6040	0.6140	+0.0100	0.6040	0.6140	+0.0100	0.0070	0.0010	0.0070	0.0010
condition-1-en-20k	42	1	csqa	en	ur	0.5850	0.5930	+0.0080	0.5850	0.5930	+0.0080	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	en	zh	0.6410	0.6520	+0.0110	0.6410	0.6520	+0.0110	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	es	en	0.5240	0.5370	+0.0130	0.5240	0.5370	+0.0130	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	es	es	0.5290	0.5230	-0.0060	0.5290	0.5230	-0.0060	0.0010	0.0010	0.0010	0.0010
condition-1-en-20k	42	1	csqa	es	ur	0.4730	0.4830	+0.0100	0.4730	0.4830	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	es	zh	0.5470	0.5530	+0.0060	0.5470	0.5530	+0.0060	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	ur	en	0.4240	0.4320	+0.0080	0.4240	0.4320	+0.0080	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	ur	es	0.3960	0.3940	-0.0020	0.3960	0.3940	-0.0020	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	ur	ur	0.4040	0.4020	-0.0020	0.4040	0.4020	-0.0020	0.0010	0.0000	0.0010	0.0000
condition-1-en-20k	42	1	csqa	ur	zh	0.3760	0.3960	+0.0200	0.3760	0.3960	+0.0200	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	zh	en	0.5450	0.5490	+0.0040	0.5450	0.5490	+0.0040	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	zh	es	0.5000	0.5110	+0.0110	0.5000	0.5110	+0.0110	0.0020	0.0000	0.0020	0.0000
condition-1-en-20k	42	1	csqa	zh	ur	0.4810	0.4830	+0.0020	0.4810	0.4830	+0.0020	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	csqa	zh	zh	0.5340	0.5360	+0.0020	0.5340	0.5360	+0.0020	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	sib200	en	en	0.7549	0.7549	+0.0000	0.7549	0.7549	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	sib200	en	es	0.6618	0.6176	-0.0441	0.6618	0.6176	-0.0441	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	sib200	en	ur	0.3088	0.3873	+0.0784	0.4951	0.4951	+0.0000	0.4510	0.3235	0.0931	0.0833
condition-1-en-20k	42	1	sib200	en	zh	0.7157	0.6961	-0.0196	0.7157	0.6961	-0.0196	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	sib200	es	en	0.7794	0.7745	-0.0049	0.7745	0.7745	+0.0000	0.0000	0.0000	0.0049	0.0000
condition-1-en-20k	42	1	sib200	es	es	0.6471	0.5980	-0.0490	0.6520	0.6029	-0.0490	0.0147	0.0098	0.0000	0.0000
condition-1-en-20k	42	1	sib200	es	ur	0.2304	0.2304	+0.0000	0.5343	0.5147	-0.0196	0.6176	0.6225	0.0980	0.0980
condition-1-en-20k	42	1	sib200	es	zh	0.5784	0.5931	+0.0147	0.6373	0.6225	-0.0147	0.0882	0.0588	0.0147	0.0196
condition-1-en-20k	42	1	sib200	ur	en	0.7402	0.7010	-0.0392	0.7255	0.6863	-0.0392	0.0000	0.0000	0.0147	0.0147
condition-1-en-20k	42	1	sib200	ur	es	0.5000	0.4657	-0.0343	0.5343	0.5000	-0.0343	0.0441	0.0490	0.0245	0.0245
condition-1-en-20k	42	1	sib200	ur	ur	0.2157	0.2255	+0.0098	0.5735	0.5686	-0.0049	0.5098	0.4657	0.0343	0.0147
condition-1-en-20k	42	1	sib200	ur	zh	0.5686	0.5245	-0.0441	0.5735	0.5245	-0.0490	0.0098	0.0000	0.0049	0.0098
condition-1-en-20k	42	1	sib200	zh	en	0.8039	0.7794	-0.0245	0.7892	0.7647	-0.0245	0.0098	0.0049	0.0196	0.0196
